timestamp,temperature_c,power_w
2026-02-03T12:11:10+00:00,27.97,864.6
2026-02-03T12:11:12+00:00,28.23,944.7
2026-02-03T12:11:14+00:00,28.11,931.7
2026-02-03T12:11:16+00:00,28.18,1020.4
2026-02-03T12:11:18+00:00,28.05,1532.3
2026-02-03T12:11:20+00:00,28.38,1057.0
2026-02-03T12:11:22+00:00,28.33,978.8
2026-02-03T12:11:24+00:00,28.58,998.3
2026-02-03T12:11:26+00:00,28.27,1066.2
2026-02-03T12:11:28+00:00,28.69,1018.1
2026-02-03T12:11:30+00:00,28.84,1037.8
2026-02-03T12:11:32+00:00,28.71,990.6
2026-02-03T12:11:34+00:00,29.12,1091.3
2026-02-06T17:40:02+00:00,27.9,1613.4
2026-02-06T17:40:04+00:00,27.73,868.0
2026-02-06T17:40:06+00:00,28.5,910.8
2026-02-06T17:40:08+00:00,28.07,606.5
2026-02-06T17:40:10+00:00,27.76,919.6
2026-02-06T17:40:12+00:00,28.54,1006.9
2026-02-06T17:40:14+00:00,28.42,972.8
2026-02-06T17:40:16+00:00,28.81,1057.0
2026-02-06T17:40:18+00:00,28.39,1424.7
2026-02-06T17:40:20+00:00,28.9,1020.1
2026-02-06T17:40:22+00:00,28.71,1651.5
2026-02-06T17:40:24+00:00,29.03,933.4
2026-02-06T17:40:26+00:00,28.67,1065.8
2026-02-06T17:40:28+00:00,28.95,1025.7
2026-02-06T17:40:30+00:00,28.74,1053.7
2026-02-06T17:40:32+00:00,29.01,678.5
2026-02-06T17:40:34+00:00,29.11,1071.1
2026-02-06T17:40:36+00:00,29.45,1162.4
2026-02-06T17:40:38+00:00,29.44,1113.7
2026-02-06T17:40:40+00:00,29.52,1107.7
2026-02-06T17:40:42+00:00,29.65,1115.3
2026-02-06T17:40:44+00:00,29.13,1058.4
2026-02-06T17:40:46+00:00,29.75,1088.1
2026-02-06T17:40:48+00:00,29.44,1051.3
2026-02-06T17:40:50+00:00,29.46,1024.6
2026-02-06T17:40:52+00:00,29.67,1013.6
2026-02-06T17:40:54+00:00,29.45,1032.8
2026-02-06T17:40:56+00:00,30.07,996.9
2026-02-06T17:40:58+00:00,29.52,972.8
2026-02-06T17:41:00+00:00,30.04,1043.5
2026-02-06T17:41:02+00:00,30.21,958.5
2026-02-06T17:41:04+00:00,30.15,1002.5
2026-02-06T17:41:06+00:00,30.26,872.8
2026-02-06T17:41:08+00:00,29.71,952.5
2026-02-06T17:41:10+00:00,30.08,907.1
2026-02-06T17:41:12+00:00,29.92,881.2
2026-02-06T17:41:14+00:00,30.25,967.6
2026-02-06T17:41:16+00:00,30.14,943.3
2026-02-06T17:41:18+00:00,30.12,863.8
2026-02-06T17:41:20+00:00,30.31,1506.6
2026-02-06T17:41:22+00:00,30.11,920.2
2026-02-06T17:41:24+00:00,30.1,797.5
2026-02-06T17:41:26+00:00,30.31,843.4
2026-02-06T17:41:28+00:00,30.24,871.2
2026-02-06T17:41:30+00:00,29.86,797.7
2026-02-06T17:41:32+00:00,30.45,837.5
2026-02-06T17:41:34+00:00,30.06,431.5
2026-02-06T17:41:36+00:00,30.62,826.2
2026-02-06T17:41:38+00:00,30.74,787.7
2026-02-06T17:41:40+00:00,30.29,800.7
2026-02-06T17:41:42+00:00,29.98,733.9
2026-02-06T17:41:44+00:00,30.42,782.0
2026-02-06T17:41:46+00:00,30.4,712.7
2026-02-06T17:41:48+00:00,30.22,714.4
2026-02-06T17:41:50+00:00,30.43,773.2
2026-02-06T17:41:52+00:00,30.18,655.7
2026-02-06T17:41:54+00:00,30.45,826.9
2026-02-06T17:41:56+00:00,30.27,689.2
2026-02-06T17:41:58+00:00,30.34,695.6
2026-02-06T17:42:00+00:00,30.37,726.0
2026-02-06T17:42:02+00:00,30.58,773.2
2026-02-06T17:42:04+00:00,30.22,768.5
2026-02-06T17:42:06+00:00,30.15,678.0
2026-02-06T17:42:08+00:00,30.67,704.6
2026-02-07T13:44:39+00:00,27.94,941.4
2026-02-07T13:44:41+00:00,27.62,980.2
2026-02-07T13:44:43+00:00,28.16,965.1
2026-02-07T13:44:45+00:00,28.4,1519.3
2026-02-07T13:44:47+00:00,27.86,927.6
2026-02-07T13:44:49+00:00,28.26,996.5
2026-02-07T13:44:51+00:00,28.37,916.2
2026-02-07T13:44:53+00:00,28.46,939.7
2026-02-07T13:44:55+00:00,28.1,1020.7
2026-02-07T13:44:57+00:00,28.57,1072.8
2026-02-07T13:44:59+00:00,28.95,997.9
2026-02-07T13:45:01+00:00,28.96,1610.4
2026-02-07T13:45:03+00:00,29.1,1041.8
2026-02-07T13:45:05+00:00,29.45,1070.5
2026-02-07T13:45:07+00:00,29.02,1109.6
2026-02-07T13:45:10+00:00,29.7,1089.7
2026-02-07T13:45:12+00:00,29.49,1166.8
2026-02-07T13:45:14+00:00,29.03,1043.6
2026-02-07T13:45:16+00:00,29.08,1083.7
2026-02-07T13:45:18+00:00,29.58,1651.8
2026-02-07T13:45:20+00:00,29.36,1098.7
2026-02-07T13:45:22+00:00,29.48,1066.3
2026-02-07T13:45:24+00:00,29.6,1050.8
2026-02-07T13:45:26+00:00,29.49,1041.1
2026-02-07T13:45:28+00:00,29.41,1078.9
2026-02-07T13:45:30+00:00,29.85,1101.6
2026-02-07T13:45:32+00:00,29.69,1101.4
2026-02-07T13:45:34+00:00,29.43,1535.5
2026-02-07T13:45:36+00:00,29.77,1044.8
2026-02-07T13:45:38+00:00,29.5,1043.1
2026-02-07T13:45:40+00:00,30.13,1052.2
2026-02-07T13:45:42+00:00,29.73,1033.3
2026-02-07T13:45:44+00:00,29.8,1029.3
2026-02-07T13:45:46+00:00,30.32,1632.9
2026-02-07T13:45:48+00:00,30.4,945.7
2026-02-07T13:45:50+00:00,30.32,913.9
2026-02-07T13:45:52+00:00,30.37,1268.7
2026-02-07T13:45:54+00:00,30.09,914.8
2026-02-07T13:45:56+00:00,30.25,1415.4
2026-02-07T13:45:58+00:00,30.32,868.2
2026-02-07T13:46:00+00:00,30.06,804.9
2026-02-07T13:46:02+00:00,29.96,1535.8
2026-02-07T13:46:04+00:00,30.36,796.9
2026-02-07T13:46:06+00:00,30.34,851.4
2026-02-07T13:46:08+00:00,30.07,1171.3
2026-02-07T13:46:10+00:00,30.12,772.1
2026-02-07T13:46:12+00:00,30.45,813.7
2026-02-07T13:46:14+00:00,30.53,1182.1
2026-02-07T13:46:16+00:00,30.22,836.0
2026-02-07T13:46:18+00:00,30.5,751.7
2026-02-07T13:46:20+00:00,30.44,842.9
2026-02-07T13:46:22+00:00,29.8,683.8
2026-02-07T13:46:24+00:00,30.08,664.7
2026-02-07T13:46:26+00:00,30.36,722.0
2026-02-07T13:46:28+00:00,30.61,1268.7
2026-02-07T13:46:30+00:00,30.6,722.4
2026-02-07T13:46:32+00:00,30.55,1379.6
